Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Flowing Dreams	Tim Ismag		I Made This for You EP		Dubstep	11638021	289			2	5	2012	29/12/2012 20:07	24/09/2013 23:49	320	44100		MPEG audio file			4	28/11/2013 11:53			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Tim Ismag\I Made This for You EP\02 Flowing Dreams.mp3
Hold The Line	Toto					5005440	234			1		2011	6/06/2011 21:35	24/09/2013 23:49	169	44100		MPEG audio file							60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Toto\Unknown Album\01 Hold The Line.mp3
Good Enough	XXYYXX		XXYYXX			10454582	260			2		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	5	20/12/2013 4:34			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\02 Good Enough.mp3
Fields	XXYYXX		XXYYXX			7860705	195			3		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	6	20/12/2013 4:38			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\03 Fields.mp3
Set It Off	XXYYXX		XXYYXX			10170729	252			4		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	5	20/12/2013 4:54			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\04 Set It Off.mp3
Alone	XXYYXX		XXYYXX			9394970	233			5		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	4	20/12/2013 4:58	1	27/11/2013 21:29	60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\05 Alone.mp3
DMT	XXYYXX		XXYYXX			10462971	260			6		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	4	20/12/2013 5:02			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\06 DMT.mp3
Breeze	XXYYXX		XXYYXX			7250572	180			7		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	3	20/12/2013 5:06			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\07 Breeze.mp3
Closer	XXYYXX		XXYYXX			8240863	204			8		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	4	20/12/2013 5:09			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\08 Closer.mp3
Forest Fires	XXYYXX		XXYYXX			10138494	252			9		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	2	20/12/2013 5:13			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\09 Forest Fires.mp3
Never Leave	XXYYXX		XXYYXX			9741537	242			10		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	2	20/12/2013 5:17			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\10 Never Leave.mp3
Witching Hour	XXYYXX		XXYYXX			10454592	260			11		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	2	20/12/2013 5:22			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\11 Witching Hour.mp3
Love Isn't Made (ft. Steffaloo)	XXYYXX		XXYYXX			6572229	163			12		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	1	20/12/2013 5:24			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\12 Love Isn't Made (ft. Steffaloo).mp3
TIED2U	XXYYXX		XXYYXX			7948663	197			13		2012	10/08/2013 16:29	1/11/2013 20:20	320	44100		MPEG audio file		www.NewAlbumReleases.net	1	20/12/2013 5:28			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\XXYYXX\XXYYXX\13 TIED2U.mp3
Les Passants	Zaz	Isabelle Geffroy/Tryas	Zaz		Chanson Française	8514230	212	1	1	1	11	2010	30/09/2012 22:23	24/09/2013 23:49	320	44100		MPEG audio file			1				60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Zaz\Zaz\01 Les Passants.mp3
Back Then						50097788	284						1/11/2010 13:40	24/09/2013 23:49	1411	44100		WAV audio file			2	2/11/2013 23:58			60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Unknown Artist\Unknown Album\Back Then.wav
Diesel Not Petrol						3954309	196						25/06/2012 13:29	24/09/2013 23:49	160	44100		MPEG audio file			1				60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Unknown Artist\Unknown Album\Diesel Not Petrol.mp3
Home Again						4398892	219						25/06/2012 13:27	24/09/2013 23:49	160	44100		MPEG audio file			1		1	24/10/2013 0:19	60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Unknown Artist\Unknown Album\Home Again.mp3
MTV Mash Ups - Prodigy Vs Enya - Sma					Breakbeat	3824569	190						25/06/2012 13:30	24/09/2013 23:49	160	44100		MPEG audio file		 000004CD 00000491 00002148 00002149 000264CA 000264CA 00008000 00008000 00010B07 0001F50B	1				60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Unknown Artist\Unknown Album\MTV Mash Ups - Prodigy Vs Enya - Sma.mp3
07 Eastern Jam						7818369	240						13/08/2012 19:18	24/09/2013 23:49	256	48000		MPEG audio file			2	24/10/2013 12:05	2	24/10/2013 0:22	60	C:\Users\Emile\Music\iTunes\iTunes Media\Music\Unknown Artist\Unknown Album\07 Eastern Jam.mp3
